symbol,seg
BTCUSDT,X
ETHUSDT,X
BNBUSDT,X
BCCUSDT,
NEOUSDT,X
LTCUSDT,X
QTUMUSDT,X
ADAUSDT,X
XRPUSDT,X
EOSUSDT,X
TUSDUSDT,
IOTAUSDT,X
XLMUSDT,X
ONTUSDT,X
TRXUSDT,X
ETCUSDT,X
ICXUSDT,X
VENUSDT,
NULSUSDT,X
VETUSDT,X
PAXUSDT,
BCHABCUSDT,
BCHSVUSDT,
USDCUSDT,
LINKUSDT,X
WAVESUSDT,X
BTTUSDT,X
USDSUSDT,
ONGUSDT,X
HOTUSDT,
ZILUSDT,X
ZRXUSDT,X
FETUSDT,X
BATUSDT,X
XMRUSDT,X
ZECUSDT,X
IOSTUSDT,X
CELRUSDT,X
DASHUSDT,X
NANOUSDT,X
OMGUSDT,X
THETAUSDT,X
ENJUSDT,X
MITHUSDT,X
MATICUSDT,X
ATOMUSDT,X
TFUELUSDT,X
ONEUSDT,X
FTMUSDT,X
ALGOUSDT,X
USDSBUSDT,
GTOUSDT,
ERDUSDT,X
DOGEUSDT,X
DUSKUSDT,
ANKRUSDT,X
WINUSDT,X
COSUSDT,X
NPXSUSDT,X
COCOSUSDT,
MTLUSDT,X
TOMOUSDT,X
PERLUSDT,X
DENTUSDT,
MFTUSDT,X
KEYUSDT,
STORMUSDT,
DOCKUSDT,
WANUSDT,X
FUNUSDT,
CVCUSDT,
CHZUSDT,X
BANDUSDT,X
BUSDUSDT,
BEAMUSDT,X
XTZUSDT,X
RENUSDT,X
RVNUSDT,X
HCUSDT,
HBARUSDT,X
NKNUSDT,
STXUSDT,X
KAVAUSDT,X
ARPAUSDT,
IOTXUSDT,X
RLCUSDT,X
MCOUSDT,X
CTXCUSDT,
BCHUSDT,
TROYUSDT,
VITEUSDT,
FTTUSDT,
EURUSDT,
OGNUSDT,X
DREPUSDT,X
BULLUSDT,
BEARUSDT,
ETHBULLUSDT,
ETHBEARUSDT,
TCTUSDT,
WRXUSDT,X
BTSUSDT,
LSKUSDT,
BNTUSDT,
LTOUSDT,
EOSBULLUSDT,
EOSBEARUSDT,
XRPBULLUSDT,
XRPBEARUSDT,
STRATUSDT,
AIONUSDT,X
MBLUSDT,
COTIUSDT,X
BNBBULLUSDT,
BNBBEARUSDT,
STPTUSDT,X
WTCUSDT,X
DATAUSDT,X
XZCUSDT,X
CTSIUSDT,
HIVEUSDT,X
CHRUSDT,X
BTCUPUSDT,
BTCDOWNUSDT,
GXSUSDT,
ARDRUSDT,X
LENDUSDT,X
MDTUSDT,
STMXUSDT,
KNCUSDT,X
REPUSDT,X
LRCUSDT,X
PNTUSDT,X
COMPUSDT,X
BKRWUSDT,
SCUSDT,
ZENUSDT,X
SNXUSDT,X
ETHUPUSDT,
ETHDOWNUSDT,
ADAUPUSDT,
ADADOWNUSDT,
LINKUPUSDT,
LINKDOWNUSDT,
VTHOUSDT,
DGBUSDT,X
GBPUSDT,
SXPUSDT,X
MKRUSDT,X
DAIUSDT,X
